Target,Model,MAE,MAPE,WMAPE,Runtime
dew_point,AdaBoost,1.83,8.33,8.12,0 days 00:27:24
dew_point,K-NearestNeighbor,2.15,10.76,9.51,0 days 00:00:02
dew_point,Ridge,2.3,10.01,10.19,0 days 00:00:04
dew_point,XGBoost,2.31,10.13,10.21,0 days 00:00:52
dew_point,DecisionTree,2.34,10.3,10.37,0 days 00:09:24
dew_point,Linear,2.38,10.35,10.56,0 days 00:00:24
dew_point,Lasso,2.46,12.58,10.92,0 days 00:00:02
feels_like,AdaBoost,2.75,8.33,8.29,0 days 00:19:52
feels_like,DecisionTree,3.06,9.08,9.21,0 days 00:10:58
feels_like,K-NearestNeighbor,3.36,9.93,10.12,0 days 00:00:02
feels_like,Lasso,3.79,11.34,11.41,0 days 00:00:02
feels_like,Linear,11.85,35.74,35.68,0 days 00:00:26
feels_like,Ridge,11.87,35.54,35.74,0 days 00:00:04
feels_like,XGBoost,124.6,393.91,375.09,0 days 00:00:46
humidity,Linear,5.82,8.98,8.63,0 days 00:00:19
humidity,Ridge,5.92,9.1,8.79,0 days 00:00:03
humidity,XGBoost,6.14,9.83,9.12,0 days 00:00:37
humidity,AdaBoost,6.15,10.06,9.13,0 days 00:14:34
humidity,K-NearestNeighbor,9.86,19.5,14.63,0 days 00:00:01
humidity,DecisionTree,9.88,15.73,14.66,0 days 00:03:25
humidity,Lasso,15.7,31.37,23.3,0 days 00:00:04
pressure,AdaBoost,0.83,0.08,0.08,0 days 00:16:32
pressure,K-NearestNeighbor,0.96,0.09,0.09,0 days 00:00:01
pressure,DecisionTree,1.04,0.1,0.1,0 days 00:03:14
pressure,Lasso,1.36,0.13,0.13,0 days 00:00:01
pressure,XGBoost,1.31,0.13,0.13,0 days 00:00:35
pressure,Ridge,1.87,0.18,0.18,0 days 00:00:03
pressure,Linear,1.79,0.18,0.18,0 days 00:00:17
temp,DecisionTree,1.53,5.2,5.11,0 days 00:09:11
temp,K-NearestNeighbor,1.99,6.61,6.64,0 days 00:00:03
temp,AdaBoost,2.45,7.78,8.19,0 days 00:19:26
temp,XGBoost,2.58,9.14,8.63,0 days 00:00:36
temp,Lasso,2.91,9.15,9.72,0 days 00:00:02
temp,Ridge,10.75,36.02,35.95,0 days 00:00:04
temp,Linear,11.09,37.64,37.07,0 days 00:00:22
temp_max,Ridge,1.05,3.35,3.35,0 days 00:00:03
temp_max,Linear,1.05,3.44,3.38,0 days 00:00:18
temp_max,XGBoost,1.56,5.17,5.01,0 days 00:00:36
temp_max,DecisionTree,1.58,5.02,5.05,0 days 00:04:00
temp_max,K-NearestNeighbor,1.83,5.9,5.88,0 days 00:00:01
temp_max,AdaBoost,1.92,5.76,6.15,0 days 00:11:19
temp_max,Lasso,2.58,7.71,8.28,0 days 00:00:02
temp_min,AdaBoost,2.05,6.83,7.19,0 days 00:18:42
temp_min,K-NearestNeighbor,2.13,7.44,7.47,0 days 00:00:02
temp_min,DecisionTree,2.46,8.78,8.65,0 days 00:11:08
temp_min,Lasso,2.9,9.54,10.18,0 days 00:00:02
temp_min,Ridge,11.01,38.52,38.68,0 days 00:00:04
temp_min,Linear,11.19,39.8,39.32,0 days 00:00:24
temp_min,XGBoost,167.74,637.15,589.28,0 days 00:00:41
